参数错误,Parameter error
暂时禁止注册,Registration is currently suspended
"系统升级中，请稍后使用","System upgrade in progress, please try again later"
请填写用户名,Please enter your username
请填写密码,Please enter your password
请填写确认密码,Please enter the password again to confirm
"用户名格式不正确，请填写邮箱","Username format incorrect, please input a valid email address"
"密码格式不正确，需要6-20个由a-zA-Z0-9_#@!*组成的字符串","Require additional password complexity, please use 6-20 characters with the combination consist of:a-z A-Z 0-9 _ # @ ! *"
"密码格式不正确，需要8-20个由a-zA-Z0-9_#@!*组成的字符串","Require additional password complexity, please use 8-20 characters with the combination consist of:a-z A-Z 0-9 _ # @ ! *"
"密码格式不正确，可能含有无法识别的符号，密码需要8-20个由a-zA-Z0-9_#@!*组成的字符串","The password format is incorrect and may contain unrecognized symbols. The password requires 8-20 characters consisting of a-zA-Z0-9_#@!*"
"密码格式不正确，可能含有无法识别的符号，密码需要6-20个由a-zA-Z0-9_#@!*组成的字符串","The password format is incorrect and may contain unrecognized symbols. The password requires 6-20 characters consisting of a-zA-Z0-9_#@!*"
"您输入的密码太简单了，为了保障您的资金安全请更换复杂密码","The password you have entered does not meet the minimum complexity requirements, please change to a more complex password to keep your assets safe"
"您输入的密码太简单了，至少需要一个大写字母、一个小写字母和一个数字","The password you entered is too simple, requires at least one capital letter, one lowercase letter, and one number"
确认密码不一致,Confirmation password is inconsistent with password
"您输入的用户名已经存在，请更换其他用户名","The user name you entered already exists. Please change other user name"
注册失败,Registration failed
注册成功,Registration success
暂时禁止登录,Login is temporarily suspended
您填写的用户名或密码错误,The username or password you have entered is incorrect
"您已被禁用，暂时不可以登录","Your account has been suspended, login is temporarily unavailable"
"您连续登录失败超过%s次，已经被禁止登录，请%s后重新登录","Your login attempts have failed more than %s times, the account is now suspended, please wait for %s to log in again"
"您连续输入验证码错误超过%s次，已经被禁止登录，请%s后重新登录","Your verification code has failed for more than %s times, the login has been suspended, please wait for %s to log in again"
"小时","hour(s)"
"秒","second(s)"
"分","minute(s)"
"您已被禁用，暂时不可以使用","Your account have been suspended, application is temporarily unavailable"
"您填写的用户名或密码错误，%s次后将冻结账号","The username or password you have entered is incorrect, and accounts will be suspended after %s tries"
"验证码输入错误，%s次后将冻结账号","Incorrect verification code, and accounts will be suspended after %s tries"
"验证码输入错误","Incorrect verification code"
币种不存在,The currency is currently unsupported
请填写反馈内容,Please fill in the content of the feedback
提交成功,Submit successfully
提交失败,Submit failed
APP不存在,APP does not exist
写入成功,Write successfully
写入失败,Write failed
用户名长度不可以超过100个字符,Username length should not exceed 100 characters
邮箱验证,E-mail verification
