参数错误,여기에 텍스트를 바꾸십시오
暂时禁止注册,여기에 텍스트를 바꾸십시오.
"系统升级中，请稍后使用","여기에 텍스트를 바꾸십시오."
请填写用户名,회원명을 입력해주십시오
请填写密码,비밀번호를 입력해주십시오
请填写确认密码,비밀번호를 다시 확인해주십시오
"用户名格式不正确，请填写邮箱","회원명이 일치하지않습니다, 인증된 이메일 주소를 다시 입력해주십시오"
"密码格式不正确，需要6-20个由a-zA-Z0-9_#@!*组成的字符串","비밀번호 양식이 적합하지 않습니다. 6~20자의 대,소문자,특수문자_ # @ ! *와 숫자를 포함하여 입력해주세요."
"密码格式不正确，需要8-20个由a-zA-Z0-9_#@!*组成的字符串","비밀번호 양식이 적합하지 않습니다. 8~20자의 대,소문자,특수문자_ # @ ! *와 숫자를 포함하여 입력해주세요."
"密码格式不正确，可能含有无法识别的符号，密码需要8-20个由a-zA-Z0-9_#@!*组成的字符串","비밀번호 양식이 적합하지 않습니다. 8~20자의 대,소문자,특수문자_ # @ ! *와 숫자를 포함하여 입력해주세요."
"密码格式不正确，可能含有无法识别的符号，密码需要6-20个由a-zA-Z0-9_#@!*组成的字符串","비밀번호 양식이 올바르지 않습니다.  _#@!* 특수문자와 영어 대,소문자를 포함하여 입력해주세요."
"您输入的密码太简单了，为了保障您的资金安全请更换复杂密码","비밀번호의 안정성이 높지 않습니다. 안전한 자산관리를 위해 비밀번호의 안정성을 높여주십시오."
"您输入的密码太简单了，至少需要一个大写字母、一个小写字母和一个数字","비밀번호의 안정성이 높지 않습니다. 대,소문자,숫자 등을 조합하여 설정하여주십시오."
确认密码不一致,비밀번호가 일치하지않습니다.
"您输入的用户名已经存在，请更换其他用户名","입력하신 회원명이 이미 존재합니다. 다른 이름을 입력하여주십시오."
注册失败,가입 실패	
注册成功,가입 성공
暂时禁止登录,로그인이 일시적으로 중단되었습니다.
您填写的用户名或密码错误,입력하신 회원명 혹은 비밀번호가 일치하지않습니다.
"您已被禁用，暂时不可以登录","계정이 사용 중단되었습니다. 로그인을 일시적으로 할 수 없습니다."
"您连续登录失败超过%s次，已经被禁止登录，请%s后重新登录","로그인을 %s 번 실패하였습니다,  %s 후 다시 로그인해주십시오."
"您连续输入验证码错误超过%s次，已经被禁止登录，请%s后重新登录","인증번호 입력을 %s 번 실패하였습니다, %s 후 다시 로그인해주십시오."
"小时","시간(s)"
"秒","초(s)"
"分","분(s)"
"您已被禁用，暂时不可以使用","계정이 사용 중단되었습니다. 어플을 일시적으로 사용 할 수 없습니다."
"您填写的用户名或密码错误，%s次后将冻结账号","입력하신 회원명 혹은 비밀번호가 일치하지않습니다,%s 번 실패 시, 계정이 정지됩니다."
"验证码输入错误，%s次后将冻结账号","입력하신 인증번호가 일치하지않습니다, %s 번 실패 시, 계정이 정지됩니다"
"验证码输入错误","인증번호가 일치하지않습니다"
币种不存在,해당 화폐는 현재 지원하지 않습니다.
请填写反馈内容,피드백할 내용을 작성해주세요.
提交成功,제출 완료
提交失败,제출 실패
APP不存在,APP가 존재하지않습니다.
写入成功,작성 완료
写入失败,작성 실패
用户名长度不可以超过100个字符,회원명은 100자를 초과할 수 없습니다.
邮箱验证,이메일 인증
"注册成功，系统已经向您的邮箱发送了验证邮件，请点击邮件中的链接完成邮箱绑定（如果没有收到验证邮件，可能在垃圾箱中，或者更换一个邮箱重新注册）","회원가입을 완료하였습니다. 인증된 이메일로 확인 메일을 보냈으니, 해당 링크를 클릭하여 확인해주십시오."
"您未验证邮箱，系统已经向您的邮箱发送了验证邮件，请点击邮件中的链接完成邮箱验证","가입 이메일을 확인하지않았습니다. 가입 메일의 링크를 클릭하여 이메일 확인을 완료하십시오(만약 이메일이 받은편지함에 존재하지않는다면, 스팸메일함도 확인해주십시오)."
系统提示,정보
"链接已过期，请重新获取新的链接","해당 링크는 만료되었습니다. 새로운 링크를 받으십시오."
验证邮箱成功,이메일 인증 성공	
验证邮箱失败,이메일 인증 실패
"您更换了设备，请验证短信","기기를 변경했습니다. 문자인증을 통해 로그인을 하십시오."
"您更换了设备，请输入邮件中的验证码","기기를 변경했습니다.이메일의 인증번호를 입력해주십시오."
"异地登录提醒，如果不是您的操作请通过邮件或者短信中的链接冻结账号","다른기기의 로그인을 확인하였습니다. 만약 사용자의 로그인이 아니라면, 이메일 링크 혹은 인증번호로 계정을 중지시킬 수 있습니다."
"异地登录提醒，如果不是您的操作请点击邮件中的链接冻结账号","다른기기의 로그인을 확인하였습니다. 만약 사용자의 로그인이 아니라면, 이메일 링크 혹은 인증번호로 계정을 중지시킬 수 있습니다."
异地登录提醒,다른기기 로그인 확인
"会员不存在，或已被禁用","회원이 존재하지않거나, 이미 중지되었습니다."
"不需要发送短信验证码","이미 인증번호를 전송하였습니다."
"请等待%s后再重新发送"," %s 후 다시 보내시길 바랍니다. "
您的账号未绑定手机,사용자의 계정은 휴대폰과 연결되어있지 않습니다.
"您的验证码：%s。如非本人操作，请尽快修改您的密码，以免造成财产损失。","인증번호는: %s 입니다. 만약 사용자가 본인이 아니라면, 즉시 비밀번호를 변경해주십시오."
"您找回密码的验证码：%s。如非本人操作，请尽快修改您的密码，以免造成财产损失。","비밀번호 재설정 인증번호는: %s 입니다. 만약 사용자 본인이 아니라면, 즉시 비밀번호를 변경해주십시오."
"您修改手机的验证码：%s。如非本人操作，请尽快修改您的密码，以免造成财产损失。","휴대폰 재설정 인증번호는: %s 입니다. 만약 사용자이 아니라면, 즉시 비밀번호를 변경해주십시오."
发送成功,발신 성공
发送失败,발신 실패
不需要发送邮件验证码,이메일 인증코드를 이미 전송하였습니다.
邮件验证码,이메일 인증코드
亲爱的用户：,회원 여러분들:
请点击链接完成邮箱验证,해당 링크를 클릭하여 이메일 인증을 완료하여주십시오.
"如果您的邮箱无法点击链接，请复制以下链接到浏览器中打开：","해당 링크가 열리지 않는다면, 링크를 복사하여 다른 브라우저를 통하여 시기바랍니다.:"
"您的账号在异地登录，如果不是您的操作，<a href=""%s"" style=""text-decoration:underline;"">请点击这里冻结账号</a>，24小时后自动解冻。","다른기기에서의 로그인이 확인되었습니다, 만약 사용자 본인이 아니라면, <a href=""%s"" style=""text-decoration:underline;"">해당 링크를 클릭하여 계정을 일시 중단시키십시오.</a>, 계좌는 24시간 후 다시 활성화됩니다."
"如果误操作您可以在输入账号密码后根据提示操作解冻。","만약 사용자 본인 잘못으로 계정이 일시 정지되었다면,비밀번호 입력 후 안내 메시지에 따라 계정 잠금을 해제합니다."
冻结账号成功,계정 일시중단
冻结账号失败,계정 일시중단 실패
请先登录,로그인을 해주십시오
token生成失败,화폐 생성 실패
请填写验证码,인증번호를 입력하여주십시오.
验证码不正确,인증번호가 일치하지않습니다
请填写当前登录密码,현재 비밀번호를 입력하여주십시오
请填写新登录密码,새 비밀번호를 입력하여주십시오
已经使用过的密码不可以使用,이전의 사용했던 비밀번호는 사용할 수 없습니다.
"您连续输入验证码错误超过%s次，已经禁止找回密码，请%s后重新操作","인증번호 입력을 %s 번 실패하였습니다, 비밀번호 찾기 기능이 일시 중단되었으니, %s 후 다시 시도하시길 바랍니다."
"您连续输入验证码错误超过%s次，已经禁止修改邮箱，请%s后重新操作","인증번호 입력을 %s 번 실패하였습니다, 이메일 재설정 기능이 일시 중단되었으니, %s 후 다시 시도하시길 바랍니다."
"您连续输入验证码错误超过%s次，已经禁止修改手机，请%s后重新操作","인증번호 입력을 %s 번 실패하였습니다, 휴대폰 재설정 기능이 일시 중단되었으니, %s 후 다시 시도하시길 바랍니다."
"您连续输入验证码错误超过%s次，已经禁止设置交易密码，请%s后重新操作","인증번호 입력을 %s 번 실패하였습니다, 거래번호 재설정 기능이 일시 중단되었으니, %s 후 다시 시도하시길 바랍니다."
"您连续输入验证码错误超过%s次，已经冻结账号，请%s后重新操作","인증번호 입력을 %s 번 실패하였습니다, 계정이 일시 정지되었으니, %s 후 다시 시도하시길 바랍니다."
"您连续输入交易密码错误超过%s次，已经冻结账号，请%s后重新操作","거래 비밀번호 입력을 %s 번 실패하였습니다, 계정이 일시 중단되었으니, %s 후 다시 시도하시길 바랍니다."
"验证码输入错误，%s次后将禁止操作","인증번호가 올바르지않습니다, %s 번 실패 후, 계정이 일시 정지됩니다."
修改登录密码成功,로그인 비밀번호가 변경되었습니다.
修改登录密码失败,로그인 비밀번호 변경이 실패되었습니다.
当前登录密码不正确,현재 비밀번호가 일치하지않습니다.
修改成功,재설정 성공
修改失败,재설정 실패
请输入旧邮箱的邮件验证码,이전 이메일 주소로 전송된 인증번호를 입력하여주십시오.
请输入新邮箱,새 이메일 주소를 입력하여주십시오.
请输入新邮箱的邮件验证码,새 이메일 주소로 전송된 인증번호를 입력하여주십시오.
旧邮箱的邮件验证码不正确,이전 이메일 주소로 전송된 인증번호가 일치하지않습니다
新邮箱的邮件验证码不正确,새 이메일 주소로 전송된 인증번호가 일치하지않습니다
邮箱长度不可以超过100个字符,이메일 주소는 100자를 초과할 수 없습니다.
"邮箱格式不正确，请填写邮箱","이메일 주소 형식이 올바르지않습니다, 다시 입력해주십시오"
"您填写的邮箱是当前正在使用的邮箱","입력하신 이메일 주소는 이전의 사용된 주소입니다."
"您输入的邮箱已经存在，请更换其他邮箱","해당 이메일 주소는 이미 사용되고있습니다, 다시 입력해주십시오"
请输入当前手机的验证码,현재 휴대폰으로 전송된 인증번호를 입력하여주십시오
请输入新手机号码,새 휴대폰번호를 입력하여주십시오
请输入新手机的验证码,새 휴대폰으로 전송된 인증번호를 입력하여주십시오
您填写的手机号码是当前正在使用的手机号码,입력하신 휴대폰 번호는 이전의 사용된 번호입니다.
旧手机验证码不正确,이전 휴대폰으로 전송된 인증번호가 일치하지않습니다
新手机验证码不正确,새 휴대폰으로 전송된 인증번호가 일치하지않습니다
"您输入的手机已经存在，请更换其他手机","해당 휴대폰번호는 이미 사용되고있습니다, 다시 입력해주십시오"
"您未绑定手机","휴대폰과 연동되어있지 않습니다."
您未设置交易密码,거래 비밀번호가 설정되지 않았습니다.
请填写新交易密码,새로운 거래 비밀번호를 입력하여주십시오
请填写邮件验证码,이메일 인증번호를 입력하여주십시오
请填写短信验证码,휴대폰 인증번호를 입력하여주십시오
设置交易密码成功,거래 비밀번호 설정
设置交易密码失败,거래 비밀번호 설정 실패
该地址不是一个有效的地址,해당 주소가 유효하지않습니다.
该地址是一个有效的地址,해당 주소는 유효합니다.
请输入地址标签,주소 메모를 입력하여주십시오.
"每人最多可以生成%s个收款地址","매 계정마다 %s 주소를 생성 할 수 있습니다."
生成地址失败,주소 생성 실패
生成地址成功,주소 생성 성공
地址标签重复,해당 주소 메모가 이미 존재합니다.
地址不存在,주소가 존재하지않습니다
修改地址成功,주소 수정 성공
修改地址失败,주소 수정 실패
移除地址成功,주소 삭제 성공
移除地址失败,주소 삭세 실패
请填写收款方地址,수취인 주소를 입력하여주십시오
请填写收款方地址标签,수취인 주소 메모를 입력하여주십시오
请填写转出金额,이체 금액을 입력하여주십시오
请填写交易密码,거래 비밀번호를 입력하여주십시오
交易密码不正确,거래 비밀번호가 일치하지않습니다
"交易密码不正确，%s次后将冻结账号","거래 비밀번호가 일치하지않습니다, %s 시도 후 실패시, 계정이 일시 정지됩니다. "
短信验证码不正确,휴대폰 인증번호가 일치하지않습니다
当前币种暂时不允许对外转账,현재 화폐는 일시적으로 대외 전송을 허용하지 않습니다.
当前币种暂时不允许生成新地址,현재 화폐는 일시적으로 새 주소를 생성할 수 없습니다.
您的账户已被禁止对外转账,사용자의 계좌의 대외 이체기능이 일시 중단되었습니다.
转账金额不能小于%s,계좌이체 금액은 %s 보다 적을 수 없습니다.
转账金额不能大于%s,계좌이체 금액은 %s 보다 클 수 없습니다
您一天内转账总金额已经达到最大额度,하루에 이체한 금액이 한도에 도달했습니다.
接收方地址不是一个有效的地址,수취인 주소가 올바르지 않습니다.
您的余额不足,잔액이 부족합니다.
转账失败,이체 실패
转账成功,이체 성공
"暂时没有可用的钱包服务器，请稍候操作","지갑 서버가 작동하지않습니다, 잠시 기다려주십시오"
请填写昵称,닉네임을 입력하여주십시오
请选择图片文件,프로필 사진을 선택해주십시오
保存成功,저장 성공
保存失败,저장 실패
您的登录已过期,로그인 시간이 만료되었습니다.
"您的账号在其他设备登录，请重新登录","다른기기에서의 로그인이 확인되었습니다. 다시 로그인해주십시오."
邮箱不可以修改,이메일을 수정할 수 없습니다.
"转账失败，接收方生成地址失败","전송이 실패되었습니다, 수신자의 주소 생성을 실패하였습니다."
验证地址失败,주소 인증 실패
"转账失败，主钱包余额不足","거래가 실패되었습니다, 메인 지갑의 잔액이 부족합니다."
"您的账号已被冻结，请%s后重新登录","사용자의 계좌가 일시 정지되었습니다, %s 후 다시 로그인해주십시오 "
新手机号码不能与旧手机号码相同,새 휴대폰 번호는 이전의 휴대폰 번호와 같을 수 없습니다.
"您的转账提交成功，请等待审核","계좌이체 요청이 제출되었습니다. 승인을 기다리십시오."
"您有一笔转入到账，金额%s","사용자의 계좌로 금액이 입금되었습니다. 금액은 %s 입니다."
您的转出已审核通过,계좌이체 요청이 승인되었습니다.
您的转出审核不通过,계좌이체 요청 승인이 거절되었습니다.
请选择锁仓记录,잠금 기록을 선택해주십시오
请填写锁定金额,잠금 금액을 입력하여주십시오
锁定金额不能小于%s,잠금 금액은 %s보다 적을 수 없습니다.
